"",WG1 H16.06.008,WG4 H16.06.009,WG4 H16.06.010,WG1 H17.06.015,Fold Change,Score
SSBP3,4.52,5.58,6.92,6.29,0.847,0.265
MIDN,0.364,0.585,0.718,0.358,0.291,0.265
TBK1,3.38,3.86,3.92,3.72,0.34,0.265
NUP85,2.76,3.67,3.31,3.34,0.441,0.265
PHKA1,1.13,1.45,1.49,1.23,0.292,0.265
LOC105377009,0.363,0.531,0.597,0.117,0.324,0.265
LOC105376743,0.38,0.737,0.564,0.292,0.314,0.265
BMP2K,3.09,3.97,3.39,3.4,0.432,0.266
CPNE5,1.26,1.24,4.75,2.43,1.15,0.266
CERS5,4.93,5.57,5.11,5.02,0.369,0.266
PRSS48,0.771,0.999,0.914,0.464,0.339,0.266
DZIP3,6.14,6.89,6.45,6.41,0.398,0.266
LOC105371320,1.02,1.31,1.21,0.866,0.314,0.266
EPM2AIP1,1.09,1.15,1.9,1.12,0.413,0.266
LOC105372481,2.32,2.63,3.37,2.72,0.478,0.266
PRKCE,9.75,9.97,10.2,9.76,0.305,0.266
DDX55,1.74,2.15,2.69,2.19,0.451,0.266
A2M,1.72,1.77,1.74,0.952,0.416,0.266
DYRK1A,6.77,7.08,7.15,6.86,0.297,0.266
PPP3CC,4.15,5.05,4.74,4.76,0.439,0.266
LOC102723917,0.259,0.449,0.929,0.365,0.377,0.266
ENY2,2.83,3.22,2.9,2.53,0.384,0.266
INTS6,5.89,6.23,6.66,6.19,0.404,0.267
TXNDC15,2.13,2.35,3.48,2.58,0.564,0.267
MARCH7,4.86,5.1,5.66,5.07,0.411,0.267
PIAS2,6.14,6.37,6.53,6.15,0.301,0.267
CFAP70,3.03,3.08,4.05,3.15,0.473,0.267
PTH2R,3.93,3.27,4.96,2.64,0.832,0.267
VWA8,6.1,7.05,6.39,6.43,0.454,0.267
ZRANB2-AS2,1.11,1.31,1.49,1.06,0.31,0.267
LOC105378212,0.344,0.426,0.923,0.246,0.38,0.267
PPM1B,5.04,5.82,5.61,5.57,0.406,0.267
LOC102723412,1.93,2.62,1.96,1.82,0.412,0.267
SENP2,3.56,4.22,3.96,3.88,0.377,0.268
LOC101927960,5.03,4.23,5.81,3.17,0.919,0.268
SETD4,2.21,2.72,2.32,2.11,0.363,0.268
EFCAB1,0.888,0.989,1,0.362,0.37,0.268
ZBTB43,3.61,4.33,3.95,3.89,0.392,0.268
CBWD3,2.3,3.09,2.41,2.38,0.411,0.268
LOC105377100,0.621,0.967,0.838,0.586,0.299,0.268
DDX5,7.51,8.25,7.3,6.91,0.561,0.268
TMEM62,2.62,3.37,3.22,3.17,0.4,0.268
LOC101928700,0.636,0.922,0.726,0.257,0.377,0.268
LOC105375691,0.654,1.14,0.697,0.369,0.407,0.269
LINC01176,0.521,0.792,1.05,0.638,0.339,0.269
FGF14,10.3,10.5,10.7,10.2,0.317,0.269
RBM33,5.63,6.09,6.1,5.91,0.324,0.269
OPRM1,0.884,2.08,0.734,0.875,0.527,0.269
KLHL29,6.76,7.54,8.21,7.8,0.594,0.269
LOC105372276,0.595,0.821,0.821,0.455,0.296,0.269
UBXN2B,4.34,4.71,4.77,4.51,0.313,0.269
LOC105370818,1.99,1.99,2.28,1.4,0.436,0.27
PTGFR,1.85,5.65,1.5,2.81,1.24,0.27
FAR1,6.54,6.98,6.59,6.21,0.408,0.27
LOC105371800,1.72,1.82,1.95,1.3,0.376,0.27
LOC105369416,2.36,2.66,2.17,1.37,0.551,0.27
POU2F1,6.51,7.07,7.13,6.95,0.367,0.27
NIFK,1.15,1.46,1.47,1.21,0.283,0.27
LOC105377971,0.901,1.23,1.08,0.757,0.327,0.27
FNDC5,0.429,0.877,0.598,0.381,0.332,0.27
ZNF529-AS1,3.17,3.34,3.62,3.11,0.337,0.27
HACD1,1.77,3.15,2.44,2.66,0.577,0.271
SCYL3,1.39,1.72,2.04,1.62,0.376,0.271
SPIN3,2,2.35,2.5,2.19,0.337,0.271
LOC101927855,0.731,0.911,1.05,0.579,0.328,0.271
NIPBL,6.54,6.85,6.92,6.63,0.3,0.272
LOC105375492,4.01,4.41,3.99,3.49,0.452,0.272
CLASP2,8.86,9.31,9.08,8.89,0.319,0.272
LOC101928929,0.318,0.342,0.96,0.13,0.427,0.272
SUCLG1,3.28,3.29,3.96,3.11,0.434,0.272
HARS2,1.15,1.25,1.7,1.04,0.38,0.272
LOC101929596,1.13,1.07,1.51,0.484,0.482,0.272
CDKL2,2.67,2.97,2.93,2.67,0.282,0.272
OFD1,5.1,5.26,4.95,4.04,0.536,0.272
ISCA1,1.79,1.91,2.33,1.7,0.372,0.272
FBXO16,3.61,4.89,4.44,4.62,0.553,0.272
MICU3,6.7,6.86,6.99,6.47,0.34,0.272
GRK5,1.64,2.87,3.43,3.27,0.695,0.273
ST3GAL2,3.06,4.35,4.24,4.42,0.555,0.273
FSTL5,1.33,1.51,1.61,1.13,0.33,0.273
SLC36A4,5.06,5.1,5.67,4.86,0.424,0.273
TCTEX1D1,0.289,0.685,0.515,0.296,0.307,0.273
LOC105372310,2.79,3.4,2.9,2.78,0.371,0.273
SRSF12,3.06,3.4,3.92,3.39,0.435,0.273
PECR,1.79,2.3,2.25,2.08,0.339,0.273
DOPEY1,6.33,6.82,7.1,6.76,0.412,0.273
LOC105378785,0.642,0.57,1.41,0.356,0.491,0.273
LOC105374595,0.239,1.13,0.444,0.446,0.447,0.273
SERINC5,1.21,1.47,1.68,1.28,0.327,0.274
LOC105373709,0.412,0.91,0.67,0.496,0.336,0.274
MOB3B,2.81,2.68,3.77,2.58,0.53,0.274
SMC6,3.98,4.22,5.31,4.41,0.568,0.274
CLSTN1,5.54,6.3,6.45,6.3,0.452,0.274
ZNF25,3.73,4.11,3.87,3.54,0.357,0.274
GLB1,3.8,4.23,4.48,4.13,0.387,0.274
STIM1,4.57,5.1,5.21,4.99,0.377,0.274
SLC30A5,3.18,3.76,3.48,3.34,0.359,0.274
CCDC186,2.67,3.08,3.41,3.01,0.403,0.274
ZNF484,2.73,2.92,3.01,2.55,0.327,0.274
ANKRD55,0.46,1.18,0.498,0.368,0.425,0.274
TPTE2P2,1.46,2.04,1.36,0.922,0.511,0.274
LINC00299,1.34,1.22,2.02,0.845,0.526,0.274
LOC105376404,1.92,2.29,1.86,1.28,0.481,0.275
RABL3,2.42,2.84,2.31,1.69,0.521,0.275
LOC105373212,0.378,0.355,1.18,0.229,0.463,0.275
LOC105372666,0.332,0.405,0.927,0.197,0.402,0.275
LOC105376330,1.22,1.4,1.47,0.978,0.335,0.275
NFATC2,0.46,0.824,0.655,0.368,0.326,0.275
LOC105370203,0.831,1.21,0.985,0.66,0.352,0.275
HHAT,1.11,1,1.95,0.802,0.518,0.275
RAB2A,5.9,6.56,6.54,6.44,0.384,0.275
LOC105376433,1.88,1.77,2.55,1.39,0.524,0.275
DLGAP1-AS2,0.645,1.22,0.721,0.496,0.402,0.275
LOC105375555,0.501,0.69,0.759,0.285,0.331,0.275
LINC00266-1,0.874,0.89,1.62,0.758,0.441,0.275
FAM114A2,0.614,1.15,1.01,0.848,0.349,0.276
PPWD1,3.76,4.3,3.89,3.67,0.373,0.276
GDE1,0.887,1.22,1.69,1.18,0.423,0.276
NR2C1,3.32,4.1,4.15,4.07,0.431,0.276
DYSF,0.985,1.14,2.41,1.37,0.598,0.276
ZFYVE28,6.2,7.38,7.24,7.36,0.528,0.276
IL1RAPL1,10.1,10.6,10.5,10.3,0.349,0.276
BNIP2,1.8,2.41,2.15,2.02,0.37,0.276
SERINC3,3.21,3.41,3.5,3.05,0.325,0.276
RANBP2,4.91,5.65,5.44,5.36,0.405,0.276
ZNF204P,3.01,3.22,4.78,3.6,0.697,0.276
TSEN15,1.81,2.1,2.27,1.9,0.328,0.277
LOC105377791,1.42,1.47,1.59,0.798,0.422,0.277
TMEM155,0.812,0.463,2.01,0.3,0.679,0.277
LOC100420587,0.269,0.471,0.585,0.136,0.325,0.277
CDK11B,1.65,1.89,2.15,1.71,0.34,0.277
LOC105369825,6.9,6.87,6.17,4.29,0.925,0.277
LOC101928516,1.54,2.11,1.55,1.22,0.448,0.277
C11orf58,4.98,5.38,5.24,5.02,0.313,0.277
TRIM8,0.997,1.37,1.63,1.25,0.379,0.277
TRAPPC13,4.61,5.3,4.93,4.83,0.393,0.277
PDXDC2P,3.57,4.69,4.77,4.82,0.537,0.278
VPS9D1,2.63,3.46,3.91,3.62,0.561,0.278
LOC105369858,6.73,5.83,6.59,3.61,1.04,0.278
PROX1-AS1,3.36,4.83,3.66,3.9,0.616,0.278
ATXN2,6.66,7.47,7.33,7.29,0.429,0.278
ZNF778,0.797,1.06,1.49,0.959,0.395,0.278
ZNF280D,6.5,6.75,6.64,6.14,0.37,0.278
PPT1,2.39,2.73,2.81,2.51,0.319,0.278
TRIM13,3.05,3.41,3.9,3.38,0.439,0.278
LOC105369509,0.423,0.515,0.953,0.246,0.4,0.279
C16orf91,1.02,1.01,1.58,0.655,0.462,0.279
ASS1,0.331,0.954,0.966,0.83,0.38,0.279
TDRD5,0.685,0.832,1.23,0.649,0.364,0.279
NFE2L2,1.54,1.6,2.91,1.8,0.588,0.279
NIPSNAP3A,0.984,1.06,1.53,0.788,0.409,0.279
ZNF449,1.53,1.58,2.14,1.33,0.43,0.279
CCDC25,1.33,1.64,1.86,1.47,0.351,0.279
ZNF720,1.84,2.32,2.5,2.2,0.385,0.28
BCL6,0.589,2.08,0.653,0.9,0.624,0.28
LOC101927795,0.968,1.32,1.12,0.738,0.366,0.28
PLCL2,4.88,5.91,5.6,5.64,0.492,0.28
LOC105369950,1.53,1.77,1.51,0.792,0.479,0.28
LOC105377354,1.06,1.31,1.15,0.576,0.409,0.28
HS3ST1,0.308,0.534,1.55,0.67,0.553,0.28
SMC3,2.38,2.74,3.18,2.68,0.427,0.28
KIF9-AS1,4.83,5.92,5.66,5.73,0.51,0.28
MORN4,3.27,3.88,4.02,3.8,0.414,0.28
DHX32,1.93,2.75,2.58,2.53,0.434,0.28
ITGAL,0.857,1.08,1.1,0.695,0.317,0.28
ZRANB2-AS1,3.44,4.5,2.76,1.99,0.914,0.28
SPATA5,3.18,3.9,3.44,3.35,0.405,0.281
GATAD1,4.25,5,5.24,5.02,0.482,0.281
HGS,1.22,1.54,2.42,1.66,0.541,0.281
LINC01572,3.85,4.54,3.54,2.89,0.67,0.281
TRIM37,5.08,5.75,5.44,5.33,0.394,0.281
PCDH11Y,0.935,1.33,1.76,1.28,0.434,0.281
PTPN21,1.57,1.85,1.92,1.59,0.298,0.281
GPC5,3.88,3.7,4.23,2.87,0.588,0.281
ELK3,1.3,1.66,1.48,1.13,0.352,0.281
COL4A4,1.09,1.31,1.3,0.869,0.327,0.281
LOC105369795,2.46,3.08,2.19,1.53,0.644,0.281
LOC101927198,1.59,2,1.47,0.8,0.543,0.281
LOC101926943,5.54,5.71,4.93,3.35,0.875,0.282
LOC105372070,0.481,0.748,0.659,0.227,0.35,0.282
SPDYE1,2.24,2.77,2.19,1.73,0.498,0.282
CHFR,4.17,5.24,4.83,4.89,0.506,0.282
SGCZ,2.67,2.72,3.1,2.29,0.432,0.282
WDR41,4.18,4.31,4.69,4.05,0.383,0.282
PTGER4,1.54,2.03,1.52,1.04,0.484,0.282
ENTPD1-AS1,3.87,4.55,4.52,4.41,0.394,0.282
ULK2,4.34,5.36,5.06,5.1,0.493,0.282
PLET1,0.679,0.938,0.834,0.358,0.367,0.282
LOC105371857,1.31,1.43,1.45,0.781,0.392,0.282
NCAPD3,2.66,3.04,3.51,3.01,0.445,0.283
LOC105373329,3.95,4.28,3.54,2.37,0.748,0.283
OSMR,1.92,2.51,1.63,0.878,0.67,0.283
SREBF1,0.987,1.35,1.58,1.2,0.371,0.283
LOC105377708,1.36,1.15,2.42,0.978,0.615,0.283
TMEM63C,2.85,3.42,4.59,3.76,0.701,0.284
LOC102031319,1.77,2.39,1.9,1.75,0.387,0.284
DNM1L,6.38,6.95,6.49,6.28,0.397,0.284
UPF3B,2.78,3.85,3.11,3.16,0.508,0.284
MCCC1,4.95,6.35,5.12,5.31,0.604,0.284
PINK1,1.91,2.49,2.67,2.41,0.42,0.284
MKRN1,2.24,2.63,2.78,2.45,0.357,0.284
EYS,4.68,4.83,4.56,3.59,0.558,0.285
KIAA0195,1.34,2.01,2.6,2.14,0.565,0.285
APTX,3.27,3.38,3.88,3.18,0.404,0.285
ABHD2,6.33,7.05,6.98,6.88,0.41,0.285
TTPAL,1.6,1.78,1.92,1.39,0.355,0.285
SLC19A2,1.4,1.92,1.95,1.74,0.36,0.285
KCNMA1,9.53,9.8,10.5,9.82,0.488,0.285
LOC105374772,0.811,0.951,1.17,0.54,0.383,0.285
LRRFIP1,6.04,7.03,7.07,7.06,0.499,0.285
CDH7,0.271,0.532,0.555,0.212,0.302,0.285
LOC105374890,0.58,0.624,1.24,0.393,0.448,0.285
SLC25A25,2.28,2.94,3.15,2.9,0.453,0.285
ZKSCAN4,1.03,1.32,1.42,1.08,0.315,0.285
SLC3A1,3.89,3.93,3.52,2.1,0.729,0.285
GAS7,5.13,6.2,6.69,6.45,0.651,0.286
SRSF11,7.61,7.9,7.42,6.5,0.607,0.286
LRRC56,0.512,0.827,1.2,0.713,0.402,0.286
PAPD4,6.14,7.01,6.17,6.12,0.458,0.286
LOC105370335,2.18,2.39,2.28,1.66,0.415,0.286
LOC100506457,0.86,1.14,1.08,0.694,0.333,0.286
C4orf29,5.1,6.32,5.74,5.85,0.555,0.286
SYNGR3,0.345,0.466,0.798,0.125,0.397,0.286
LOC105370054,0.507,0.552,1.27,0.413,0.45,0.286
SLC2A3,2.58,3.1,4.45,3.49,0.743,0.286
SEPT6,1.01,2.07,1.17,1.22,0.511,0.286
PPP1CC,1.7,2.43,2.24,2.14,0.414,0.286
AMMECR1,3.32,3.29,3.87,2.84,0.503,0.287
MAK,4.11,4.06,4.69,3.61,0.514,0.287
VKORC1,1.84,1.8,2.88,1.83,0.505,0.287
CNTRL,2.45,3.36,2.8,2.78,0.468,0.287
LINC01032,0.407,0.744,0.917,0.552,0.351,0.287
LOC102724355,0.471,0.57,1.05,0.322,0.415,0.287
GPCPD1,3.35,3.54,4.21,3.5,0.451,0.287
LOC105375357,3.87,4.26,3.44,2.28,0.773,0.287
IGSF22,0.468,0.732,1.06,0.575,0.376,0.287
KCTD12,1.23,1.7,1.37,1.06,0.387,0.287
CAND1,4.2,4.4,4.5,4.01,0.346,0.287
KHK,0.85,1.09,1.21,0.806,0.321,0.287
GOLM1,3.63,4.1,4.86,4.21,0.558,0.287
LOC105378461,0.429,0.641,0.707,0.242,0.339,0.287
LOC101928080,0.28,0.225,1.24,0.144,0.521,0.287
LOC105370731,0.374,0.442,1.15,0.343,0.438,0.287
LOC105370557,2.63,3.03,2.47,1.68,0.594,0.287
WDR60,5.61,6.18,6.28,6.05,0.398,0.287
KIAA1377,4.71,6.52,5.46,5.82,0.728,0.288
UBOX5-AS1,2.21,2.31,2.36,1.63,0.418,0.288
KRAS,2.7,2.83,3.56,2.78,0.453,0.288
RPGRIP1L,3.93,4.32,4.6,4.19,0.398,0.288
KCNN1,0.806,1.44,2.02,1.54,0.556,0.288
MPP7,2.37,3.3,4.8,3.91,0.908,0.288
AAK1,6.11,7.03,7.23,7.1,0.529,0.288
NPAS2,4.18,5.98,5.7,6.05,0.726,0.288
ABCB10,2.06,2.63,2.9,2.58,0.447,0.288
HERC2P7,1.41,1.53,1.82,1.14,0.402,0.288
GPR155,5.88,7.58,6.07,6.38,0.699,0.288
KPNA1,5.21,5.45,6.03,5.38,0.443,0.288
TTC3-AS1,2.91,2.5,3.6,1.66,0.769,0.289
LOC105374689,0.179,0.116,1.21,0.083,0.532,0.289
FAM217B,1.57,1.76,2.03,1.5,0.357,0.289
LOC105373813,4.9,4.55,4.34,2.25,0.872,0.289
PPME1,4.86,5.42,5.38,5.21,0.366,0.289
LOC101929796,0.314,1.1,0.331,0.159,0.478,0.289
LOC105369603,0.543,0.755,0.872,0.398,0.343,0.289
WDR88,1.47,1.63,1.62,1.02,0.385,0.289
LOC102724233,1.02,1.53,1.19,0.944,0.375,0.29
SNTB2,4.08,4.39,5.84,4.71,0.715,0.29
FTSJ2,0.415,0.656,1.09,0.526,0.4,0.29
ASB14,1.66,2.02,1.79,1.34,0.402,0.29
CEP104,2.42,3.25,3.56,3.32,0.535,0.29
RPRD1A,5.87,6.05,6.25,5.7,0.365,0.29
LOC101927421,0.501,0.644,1.02,0.381,0.391,0.29
THEM4,1.48,1.51,1.92,0.986,0.477,0.29
FAXC,2.98,3.58,4.28,3.72,0.584,0.29
LOC105372960,0.995,1.23,1.18,0.696,0.36,0.29
LOC101928110,1.35,1.82,1.32,0.764,0.514,0.29
SRSF10,5.24,5.53,5.46,5.08,0.337,0.29
LOC105371474,1.25,1.39,1.37,0.708,0.404,0.29
ZNF429,2.48,3.14,3.15,3.01,0.402,0.29
NTNG1,0.872,0.893,1.44,0.51,0.477,0.29
LOC105373673,2.31,2.61,2.2,1.38,0.565,0.29
MYH8,0.43,0.462,1.06,0.15,0.471,0.29
LOC101929709,0.963,1.21,1.44,0.999,0.346,0.29
TLE1,3.62,5.04,4.26,4.44,0.618,0.29
SMIM7,2.27,3.16,3.1,3.06,0.466,0.29
LOC105372901,3.25,3.06,3.53,2.07,0.631,0.291
HSD17B11,0.58,0.668,1.06,0.285,0.432,0.291
RBM11,1.56,1.71,2.13,1.5,0.391,0.291
BOLA3,1.22,1.55,1.57,1.29,0.31,0.291
LINC00282,0.481,0.646,1.14,0.51,0.399,0.291
BAALC-AS1,1.54,2.13,1.39,0.767,0.603,0.291
PPP1R2,3.26,3.55,3.61,3.28,0.307,0.291
ZFYVE9,5.74,6.68,6.51,6.49,0.48,0.291
LOC101060145,0.209,0.548,0.454,0.148,0.323,0.291
ANKRD50,0.886,1.19,2.21,1.33,0.593,0.291
LIPE-AS1,4.16,4.96,5.56,5.13,0.615,0.291
RAD54L2,5.33,5.71,5.92,5.54,0.378,0.291
LOC101928283,2.11,2.64,3.26,2.71,0.542,0.291
LOC102723458,0.853,1.15,1.02,0.564,0.378,0.292
LOC100132111,0.51,0.515,1.36,0.377,0.493,0.292
LOC105376163,0.492,0.914,0.644,0.286,0.39,0.292
HERC2P2,5.25,5.47,5.72,5.25,0.344,0.292
LOC101930091,7.35,7.44,6.81,5.15,0.878,0.292
SPEF2,4.16,4.16,5.12,4.12,0.497,0.292
TTC7B,7.85,8.36,8.51,8.22,0.399,0.292
LOC105371629,1.98,2.63,1.81,1.23,0.618,0.292
LOC105373881,1.15,1.48,1.33,0.934,0.366,0.292
C1orf112,1.41,1.61,1.63,1.12,0.357,0.292
LOC105372424,0.565,0.699,0.981,0.308,0.404,0.292
LOC102724252,4.52,5.14,5.56,5.16,0.512,0.293
PABPC1,3.41,3.75,3.91,3.55,0.355,0.293
LOC105374915,0.431,0.523,1.15,0.376,0.434,0.293
LOC105372003,0.735,1.18,2.33,1.43,0.673,0.293
MAX,5.27,5.51,5.83,5.33,0.372,0.293
PTPN2,4.28,4.75,4.83,4.56,0.369,0.293
PROCR,1.07,1.31,1.17,0.563,0.427,0.293
LOC105378765,2.37,2.27,2.55,1.32,0.568,0.293
VMP1,5.13,5.72,5.79,5.58,0.402,0.293
AATK,1.85,2.95,3.31,3.14,0.634,0.293
WFDC1,0.709,1.06,1.26,0.87,0.37,0.293
DPYD-AS1,4.95,4.39,5.22,2.88,0.895,0.293
FAM92A1,2.77,3.38,3.61,3.31,0.456,0.293
ARHGEF12,6.57,7.11,7.38,7.03,0.446,0.294
MORN1,2.22,2.12,3.17,1.92,0.576,0.294
CFAP57,0.826,1.31,1.07,0.853,0.351,0.294
SLC31A1,1.94,2.36,2.41,2.13,0.346,0.294
ASAH2B,0.589,0.872,0.859,0.521,0.311,0.294
IL17RE,0.73,0.522,1.9,0.395,0.651,0.294
SH3GL2,7.92,7.96,8.56,7.64,0.476,0.294
LOC101928790,1.98,1.6,2.8,0.879,0.773,0.294
STK40,2.18,2.98,4.16,3.38,0.789,0.294
LMO7-AS1,2.18,2.96,2.07,1.68,0.585,0.294
ZNF334,1.32,2.02,2.16,1.96,0.457,0.294
LSAMP-AS1,6.5,6.85,5.54,3.52,1.19,0.294
LOC100129148,1.47,1.89,1.45,0.836,0.517,0.295
CD151,0.412,0.649,1.24,0.574,0.453,0.295
INTS4P1,0.802,2.1,0.661,0.743,0.607,0.295
MORF4L2,5.5,5.5,5.88,4.88,0.503,0.295
LOC283856,2.87,2.93,3.91,2.94,0.517,0.295
LOC105371487,1.64,1.99,1.79,1.34,0.399,0.295
RTN1,8.13,8.24,8.88,8.12,0.432,0.295
CCDC144NL-AS1,3.01,3.9,3.25,3.2,0.471,0.295
CADM2-AS1,3.06,3.12,2.96,1.89,0.573,0.295
ZNF699,1.34,1.77,2.11,1.67,0.435,0.295
MAP3K15,0.705,0.89,1.17,0.604,0.375,0.295
SHISA5,0.967,1.22,1.99,1.23,0.511,0.295
LOC101927305,0.259,1.23,0.272,0.245,0.499,0.296
LOC105372259,1.4,1.77,1.54,1.08,0.411,0.296
ERP44,4.05,4.74,4.78,4.62,0.424,0.296
LOC101927359,0.359,1.07,0.486,0.359,0.418,0.296
STARD13,3.71,6.59,3.87,4.63,1.06,0.296
OTUD3,2.43,2.71,3.49,2.73,0.522,0.296
SLC30A6,2.72,3.48,3.24,3.14,0.434,0.296
YAF2,5.33,5.79,5.67,5.44,0.344,0.296
KLHL4,2.46,2.54,2.78,1.94,0.456,0.297
UCHL3,2.24,3.06,2.69,2.61,0.452,0.297
UGCG,3.26,3.64,4.15,3.59,0.472,0.297
LINC00359,0.615,0.832,0.841,0.349,0.354,0.297
ZSCAN16-AS1,1.47,1.71,1.99,1.5,0.363,0.297
LINC00403,0.746,0.523,2.06,0.489,0.673,0.297
NTRK3,8.73,9.28,9.52,9.19,0.443,0.297
IL34,3.18,4.26,4.09,4.11,0.527,0.297
LOC105378792,5.41,5.56,4.93,3.38,0.855,0.297
LOC105369593,0.69,0.896,1.14,0.618,0.364,0.297
CCDC57,5.19,6.38,6.71,6.58,0.66,0.298
NCR3LG1,2.48,3.26,2.79,2.69,0.442,0.298
LOC105370384,1.5,1.96,1.55,1.05,0.479,0.298
EPDR1,2.13,2.55,3.47,2.68,0.609,0.298
SHB,0.329,0.259,1.55,0.338,0.571,0.298
SOX4,0.22,0.408,0.772,0.207,0.377,0.298
ATP7B,3.48,4.08,4.82,4.2,0.608,0.298
IQCH-AS1,1.72,1.83,2.19,1.45,0.428,0.298
LOC101928386,1.61,1.98,1.63,1.01,0.5,0.298
FASTKD1,5.05,5.9,5.6,5.53,0.464,0.298
CASD1,6.38,6.53,6.64,5.99,0.403,0.298
SCRN3,2.54,2.97,3.02,2.74,0.353,0.298
SPATA33,1.22,1.57,2.34,1.6,0.543,0.298
LOC105375215,0.369,0.582,0.737,0.23,0.36,0.298
AP5Z1,1.54,1.92,2.43,1.87,0.474,0.298
ACPP,0.453,0.796,0.676,0.314,0.353,0.298
OPA3,1.25,1.78,2.05,1.68,0.445,0.298
LOC105370526,2.55,2.7,2.48,1.49,0.569,0.299
AUNIP,0.858,1.02,1.21,0.579,0.397,0.299
RAP2A,3.41,3.63,4.22,3.53,0.449,0.299
INHBA,0.957,0.745,2.52,0.961,0.675,0.299
ANKRD10,5.1,5.27,6,5.21,0.477,0.299
TRIM23,3.26,3.57,3.52,3.16,0.331,0.299
NINL,2.21,3.26,3.56,3.38,0.609,0.299
CDK17,6.74,7.21,7.18,6.95,0.35,0.299
LMBRD2,3.92,4.31,4.44,4.1,0.363,0.299
VEGFA,0.441,0.262,1.69,0.216,0.65,0.299
LINC00630,3.58,3.75,4.49,3.7,0.481,0.299
ZNF91,4.29,4.79,5.2,4.75,0.483,0.299
ERCC1,2.67,3.4,3.38,3.25,0.427,0.299
FBXO38,3.16,3.37,3.74,3.19,0.385,0.299
FAM76B,1.51,1.74,2.13,1.57,0.393,0.3
B4GALNT3,4.63,4.89,6.38,5.17,0.729,0.3
PRKAB2,1.26,1.71,2.64,1.85,0.62,0.3
SPINK8,2.53,3.38,2.35,1.88,0.656,0.3
POT1-AS1,3.13,3.62,3.56,3.34,0.356,0.3
LOC105378818,1.53,1.77,1.61,0.92,0.462,0.3
LOC553103,5.07,5.6,6,5.55,0.49,0.3
NDST4,0.305,0.949,0.417,0.182,0.439,0.3
LOC105370434,1.63,2.1,1.71,1.25,0.466,0.301
DCLRE1C,2.14,2.37,2.23,1.54,0.459,0.301
MAP1LC3A,3.44,3.32,4.37,3.04,0.609,0.301
METTL10,3.75,4.38,4.49,4.26,0.433,0.301
HLA-B,0.359,0.405,1.02,0.0854,0.489,0.301
LOC101927308,0.855,1.2,1.35,0.974,0.358,0.301
MIR7-3HG,3.47,3.28,4.05,2.54,0.664,0.301
CCDC28A,3.49,4.79,3.81,3.91,0.6,0.301
LOC102724838,4.74,4.93,4.54,3.39,0.672,0.301
LOC105376003,2.08,2.24,2.09,1.22,0.516,0.301
LOC105375530,1.08,1.26,1.37,0.789,0.385,0.301
LOC105369668,2.25,2.78,2.1,1.35,0.638,0.301
GPATCH2L,3.74,4.97,5.48,5.25,0.73,0.301
NEIL1,1.67,1.75,2.91,1.82,0.58,0.301
LOC101927568,1.88,1.96,2.25,1.4,0.464,0.301
LOC105371632,3.9,4.8,4.63,4.57,0.481,0.301
MIR646HG,1.91,4.14,1.51,1.99,0.879,0.301
KCTD10,1.1,1.49,2.04,1.44,0.493,0.302
LOC101928875,2.71,3.18,2.4,1.35,0.759,0.302
LOC101927521,0.6,0.99,0.795,0.423,0.381,0.302
CHD2,6.49,6.84,7.18,6.69,0.417,0.302
LOC102724416,5.1,4.9,5.25,3.72,0.672,0.302
ZNF595,2.66,2.8,3.54,2.73,0.473,0.302
JADE1,1.89,2.47,2.62,2.34,0.431,0.302
GADD45G,1.13,0.914,2.55,0.951,0.69,0.302
TBL1XR1,6.66,7.05,6.84,6.44,0.394,0.302
KCNG3,4.17,4.77,4.57,4.39,0.392,0.302
STEAP2-AS1,2.72,2.92,2.73,1.91,0.515,0.302
PSMD1,5.46,5.75,6.34,5.68,0.474,0.303
SLC25A46,4.52,4.56,5.02,4.06,0.5,0.303
ZNF354A,2.05,2.78,3.63,2.99,0.688,0.303
FAM153C,7.5,7.68,8.42,7.62,0.488,0.303
LOC101929057,2.76,2.81,2.85,1.93,0.489,0.303
ATAD1,4.44,4.53,4.68,3.84,0.465,0.303
DPY19L2P4,1.61,1.99,2.16,1.78,0.375,0.303
PDE7A,3.5,4.51,4.6,4.52,0.544,0.304
LINC01089,2.44,2.29,3.23,1.78,0.649,0.304
COCH,2.77,3.05,2.64,1.66,0.631,0.304
ADGRA1,0.57,1,1.12,0.795,0.378,0.304
LOC101928696,1.58,1.58,2.04,0.986,0.529,0.304
SLC28A2,0.714,0.855,1.22,0.509,0.427,0.304
RNF128,1.34,1.98,1.56,1.39,0.404,0.304
DCTN2,2.42,2.66,3.19,2.54,0.445,0.304
SORBS1,7.21,8.07,8.13,8.01,0.489,0.305
RASAL2,9.14,9.62,9.41,9.18,0.358,0.305
LSM5,1.29,1.62,1.58,1.27,0.319,0.305
LOC101927340,4.87,5.23,4.77,3.92,0.607,0.305
SFXN5,3.32,4.41,4.53,4.46,0.578,0.305
LOC105376360,0.895,0.897,1.6,0.534,0.535,0.305
SPAG1,2.5,3.06,2.93,2.72,0.381,0.305
TMEM194A,0.867,1.64,1.12,0.999,0.446,0.305
GIPC1,3.57,4.37,4.2,4.09,0.455,0.305
WDFY3,7.7,8.05,7.99,7.7,0.318,0.305
UQCRFS1,2.52,2.35,3.29,1.77,0.673,0.305
LINC01189,2.35,2.74,2.21,1.32,0.644,0.305
